tag,sentence
MethJust,Figure 5 below shows a plot of the linear model we created and just visually speaking the linear regression seems to fit the data decently well.
Int,"However, that would be an educated guess, and you should definitely consider it further."
Int,"There is the most population in the social drinkers’ category, but there exists a higher proportion of fit social drinkers than overweight social drinkers, and a higher proportion of overweight individuals that don’t drink at all to fit individuals that don’t drink at all, and the general trends in the table point towards a positive correlation between drinking and how fit you are (the more you drink, the more fit you will be)."
RQDef,Is a nonparametric model more approriate.
Lim,"Because they took the original population data from a website that requires volunteerism, there is a limited randomness in the population."
MethDef,"Thus, we will instead group the diagnoses into either hepatitis or not hepatitis and use a two-sample proportion test."
Data,"Similarly, Metabolic.by.mass also seems to be skewed to the right, with potential for outliers."
Data,(2) The dataset we use is The AnAge Database of Animal Ageing and Longevity.
Struct,Figure 4 presents the residual plot (residual vs Metabolic.log) and the normal-QQ plot for Model 5.
Struct,The following plots in figure 1 show the distributions of all of our potential predictors.
Int,This means that a lower metabolic rate corresponded to a higher lifespan (1).
Int,"Our hypothesis is supported by this data as a link exists, but there are other factors contributing to the varying viewsPerCount to a greater extent."
Struct,"(4) The close matching of the marginal distributions of the predictor variables to the results might encourage us about the possibility of a straightforward linear fit, but we need to examine the actual multivariate distribution relating the predictors to the response instead of jumping to that conclusion."
Int,"(3) The assumptions of our models are quite well accounted for, but it is critical not to take away a conclusion that these methods do not support."
Context,"Especially being an undergrad in college, it’s interesting to see just how prevalent these substances are within the “college bubble."
Res,"Our Chi-Square Test produces a test statistic of Chi-Sq=2.9442, and a p-value of 0.8158."
Struct,"Now, for the lag variables."
Int,"Unobserved confounding variables (like humidity) may still exist, which may invalidate causal inference drawn from our model."
MethDef,"Ultimately, we choose the smoothing spline model with 6 degrees of freedom as it had the lowest MSE of 0.3509 and a comparatively low standard error of 0.0190."
Data,"While RH is a quantitative variable that measures atmospheric conditions, month represents a categorical variable indicating the month of the year in which the fire occurred."
MethDef,Ha: There exists a relationship between smoking and body type (p < .05).
RQJust,"As did the first contingency table, we can observe that males have higher proportions within every single smoking category."
Data,But the relationship seemes more like a curve which is concave down.
MethJust,"(4) However, there are many outliers that make assessing this plot extremely difficult, and as the data is extremely clustered, suggesting perhaps a logarithmic or exponential transformation of both variables may provide a better, more understandable relationship, as right now it is impossible to tell the distribution of the true relationship (we cannot tell if it is linear)."
Other,"We do not need these plots to understand that Chicago experiences seasons that result in varying temperatures, but understanding aspects the weather may help us further understand pollution's affect on residents of Chicago."
RQDef,We hypothesize that men earn substantially more yearly income than their female counterpart.
MethJust,"Looking at our diagnostic goodness of fit plots in figure 9, we see that the distribution of residuals is approximately normal and has an even spread around 0, consistent with our assumptions."
RQDef,"Figuring out what relationship there is, if any, between these factors and lifespan is a critical step in the process of getting closer to solving the issue of immortality."
RQDef,"In this report, we are interested in exploring whether an association exists between sex and drinking habits, using drugs, or smoking habits."
Res,"The resulting 95% pivotal confidence interval was [18.20, 22.21]."
MethDef,We also calculated standard error for all models to find that the linear model has a lower standard error than the spline models.
Data,The average number of views per video is calculated by taking the total number of views for the channel divided by the total number of videos the channel has.
Struct,"The rows lists the 5 prediction errors from each fold, average 5-fold cross-validation error, and the corresponding standard deviation for the original GAM and lagged GAM"
MethDef,"Since the response variable is a count number, we assume it follows the Poisson distribution and would like to build a Poisson Regression model with link function $g(mu) = log mu$"
Res,"95% confidence interval returned [106.3248,124.0535] (5)"
RQDef,This research report hopes to address how playing time is distributed during tournaments and how it may affect the game.
Data,"They also include HAGRID, which is another identifying variable that contains a unique idenitification for every database entry."
Struct,"The x-axis describes body type and y-axis describes the amount of users attributing to “never” (green) “sometimes” (orange), “often” (red), and “no answer” (blue)."
Int,"Overall, it is evident that the distribution of damages for each plaintiff is uneven, which means that some plaintiffs received extremely high damages while others received little to no damages."
Data,This includes repeat views from one person.
MethDef,The second will include the lag variables that are a 7 day average.
Data,"Many of our animals are not very large, and there is significant skew in the plot."
Data,"This log-log scatterplot, on the bottom right of figure 4, visualizes clearly visualizes the roughly linear and inverse relationship between lifespan and metabolic rate."
Struct,Now we will turn our attention to our predictor variables.
Other,The use of this test is justified by randomly sampled data that is independent and requires the expected cell counts to be at least 5.
RQDef,"Lastly, how would the death rate change for Chicago on a 70 degree day if, theoretically, the levels of each pollutant were lowered to the record-lows."
Res,"Firstly, YouTube is most popular amongst the top three categories are “Music”, “Education”, and “Comedy” respectively."
Data,"The largest, or oldest, mean is for the never category, which has a mean of 34.187."
Other,Both mean and standard deviation are statistics that are vulnerable to skew since they use all of the available data.
Lim,This decreased the size of the data we fit our models.
Res,Note that uncertainty is greater where there are less observations for each respective input variable.
MethJust,"The difference in prediction error between the models seemed to be significant since the lagged GAM consistently had the lowest prediction error in all trials, but the difference in standard error seemed to not be significant since the lagged GAM sometimes had a higher standard error than the non-lagged GAM in some trials."
RQDef,We also want to know if the effect of pollution is instantaneous or if it extends over time.
Data,"The maximum longevity variable has a spread from 2.5 years to 122.5 years, with a center around 13 and some possible outliers after lifespan greater 45 years (from unshown boxplot)."
Lim,"In particular, the effect of ozone level on mortality is both intriguing and strong, so ozone should be a major focus of future research."
Res,"However, the music videos’ get better views."
RQDef,"As requested by Jorgensen, we will use our spline model to determine whether animals with lower metabolic rates have longer lifespans."
Data,Both of these metrics highlight the magnitude of the skew.
Res,"We calculate (calculations in code) that with these conditions, our estimated lifespan for a Crab-Eating Raccoon would be 20.11 years."
Int,"As our final model does not control for all confounding variables, casual claims derived from it are likely to be invalid."
Res,"In running the ANOVA test, we receive a test statistic of F=22.5416 and a p-value of 0."
Lim,"It is important to note the temperature variables have a bimodal shape, which may affect the accuracy of our results as we will be ignoring that fact."
MethDef,"(3) In order to select between these models (the simple linear regression and each of the 5 different splines), we will use 5-fold cross validation where we select a train and test set by withholding a single evenly-sized fold from the data, train each model on the train set, and evaluate on the test set."
Lim,"If that data was collected, we could perform some more analysis to see whether these characteristics are related to these measures of success."
Int,"Since neither of our variables are randomly assigned but instead an observed value for each patient, we cannot conclude that there is causation."
MethJust,We can see that both models appear to accurately follow the general pattern of deaths over time.
MethDef,"In order to determine which of the models fit best to the data, we performed 5-fold cross-validation and calculated the estimated mean squared error (MSE) and estimated standard error of the MSE."
Data,This left us with 4012 observations in total.
Res,We then evaluated how lowering the metabolic rate of the crab-eating raccoon would affect its lifespan and saw that our predicted value indicated an increase in lifespan of about a year.
Data,"However, the clustering data, more on the vertical side, is apparent in the scatter plots (5)"
Res,"After conducting log transformations on both variables, we found that their relationship is also approximately linear (1)."
Other,"First, we have to make sure there is a significantly large sample size for each group."
Res,"However, we also observed that for extremely large values of $SO_2$, the confidence band is very wide."
Context,"If more people subscribe, more people will get recommended videos from that channel."
MethJust,"First, the groups must be independent and the samples must be random, which they are."
MethJust,"If there were a clear pattern in the residual plot, this would be indication of problems with the fit of our model."
Int,Jorgensen is better off spending his fortunes on other more influential factors that can prolong his lifespan such as investing in his personal health and wellbeing.
Data,"We also can see some increase in variance corresponding to maximum lifespan in our plots, which might need to be adjusted in our next steps."
Res,"The minimum is 21.454 thousand, Q1 is around 406.738 thousand, Q3 is around 4.915 million, and the maximum is around 211.313 million."
MethJust,"Boxplots were made for metabolic rate and lifespan (figure not shown), which both indicated outliers."
Other,This is on average how far the data tends to stray away from the mean.
Int,"Italy has the most global influence according to the consensus, but it has a significantly lower population than the U.S., India, and Great-Britain."
MethJust,"In addition, our residual plots by predictor variable (not shown), also show decently adequate results that meet our necessary assumptions, in general."
Lim,"Since we didn't account for hidden variables, our analysis could potentially be biased if the hidden variable exists."
RQJust,"And when we actually look at the scatterplot, we can see that there is definitely a positive, linear correlation between DMC and DC."
Res,"Since our p-value of 0.0931 is greater than 0.05, we fail to reject the null hypothesis that the means are equal."
Data,Total passes is another quantitative variable measuring the total number of passes made by a player during the World Cup.
MethDef,"Thus, ""resample (X,Y) pairs"" would be the appropriate type of bootstrap."
MethDef,We used the 1000 bootstrap iterations to create the interval.
Struct,"As for metabolic rate, figure 2 displays the histogram and boxplot that visualizes its distribution."
RQDef,"We can assume that although entertainment was the most popular category, representing over 40% of the entire sample size, this does not make it the best avenue to go into in order to gain a quick following."
Data,We can see that both variables are heavily skewed to the left.
MethJust,"(3) With performed k-fold cross-validation, we have the following squared errors: 0.3636333 for smoothing spline df 3, 0.3605180 for smoothing spline df 4, 0.3592511 for smoothing spline df 5, 0.3588349 for smoothing spline df 6, 0.3591142 for smoothing spline df 7, 0.3229807 for linear model of both metabolic rate and body mass."
Struct,"A more in-depth description of each of these variables, and their units, is in the introduction section of this write-up (1)"
Struct,"The following is the histogram for RH, restated for ease from figure 2."
Context,"Third, Jorgensen wants a pet to keep him company."
Struct,(5) To determine which bootstrapping method is appropriate for this data we must refer to our conclusions from examining the residual diagnostics.
RQDef,Our first hypothesis considers the relationship between drug usage and age.
Res,The range between those is .243 which is a greater range than we would have expected.
MethJust,Such that the difference between the prediction errors of model 1 and 2 (approximately 0.000869) is greater than the standard error of model 2 (0.000347)
MethJust,"Therefore, it is possible that a transformation on Metabolic.by.mass should also be used."
Res,We found that the deviance is 153.4 and the p-value is 2.2e-16 which is incredibly small.
Res,The estimate the mean lifespan of an animal with all the other characteristics staying the same and such metabolic rate is 'r pred.yrs' years from my best model.
RQDef,"Using the selected model, we are interested in estimating the mean lifespan for a crab-eating raccoon (_Procyon cancrivorus_, HAGRID = 1898) if its metabolic rate were reduced by 50%."
Int,"From the results above, we may conclude that reducing the crab-eating raccoon's metabolic rate by 50% would cause its lifespan to increase."
Int,"As the plot isn’t linear, we cannot conclude that there is a relationship between age and duration."
Data,We notice that 90.8% of the animals in the Anage data are a member of the class Mammalia (mammals).
Res,"(1) Essentially, as these predictors increase, the death rate increases."
MethDef,"Because we have altered our hypothesis after analyzing the scatterplot, we now postulate that income tends to decrease as age decreases, we will use a one sided regression test for slope with an alternative of less than as follows."
Int,"(3) Based on our cross-validation results from the previous section, we cannot determine whether the effect of pollution appears to be instantaneous or extends over time because the difference in the average prediction errors of the two models (one with lagged variables and one with non-lagged variables) was not larger than the uncertainty of either of the prediction errors."
Data,"The mean of 'Metabolic.by.mass' is 0.0044, and its standard deviation is 0.0045, which aligns with the histogram above, but shows the strength of the rightward skew."
Lim,The variance of the residuals seems to be larger when Metabolic.log is greater.
MethJust,"After applying a logarithmic transformation to both Lifespan and Metabolic.by.mass, the scatterplot between the log transformed variables becomes much more linear, as shown in the second scatterplot in Figure 2 below (4)."
Context,"Overall, we have found some headway on the path to immortality and as more research is done, we hope to draw more conclusive research."
Int,"We had that the null hypothesis is that the second model, which is only lag variables, is correct, and the alternative hypothesis is that the lag temperature model, is correct."
Lim,"We might also benefit from obtaining training hours of the players before the World Cup, to help the teams and coaches understand how to improve outside of games."
Int,"Specifically, these outliers can be contributed to the 1995 Chicago Heat Wave (https://www.ncdc.noaa.gov/news/climate-history-july-1995-chicago-area-heat-wave) (https://acp.copernicus.org/articles/16/11601/2016/acp-16-11601-2016.pdf)"
Context,The quest for the elixer of immortality has been pursued by alchemists and scientists across many ages and cultures.
Res,"After performing the test, we get a p-value = 0.0152."
RQDef,"For the first research question, we decide to analyze the distribution of categories among all the channels and see how we can characterize them."
MethDef,"Respectively, Let mptG, mptD, mptM, and mptF represent the true mean playing time for each position."
Struct,Figure 2 presents a matrix of plots showing the relationship between variables (4).
MethJust,"Since thousands of people are given liver transplants each year, 77 patients is certainly much smaller."
Data,"The AnAge database contains data convering three different kingdoms of life, but by far the most dominant of these is the 'Animalia ' kingdom, and the most prevalent Phylum among these is the 'Chordata' Phylum."
Lim,These limitations can be resolved by collecting air pollution data of Chicago from more recent years and also researching into the existence of a third variable exists that explains the association between 'temperature' and pollutants.
RQDef,We also try to analyze whether a crab-eating raccoon with reduced metabolic rate will be a good companion (pet).
Data,The median number of posts is 7.00.
RQDef,"Therefore, our goal in the current work is to understand better what factors/categories and conditions lead to a successful youtube presence."
Lim,"Since 'death' is a count per unit of time, we assumed that it follows Poisson distribution with its mean equal to its variance."
Res,"Africa has the least number of channels, hosting only 16."
RQDef,"Then, we will observe the relationship of metabolic rate and lifespan to determine if there is a nonlinear relationship between the two with and without transformation."
Int,"Thus, we cannot make any conclusions about causation and must instead allow for the chance that there are confounding variables that we have not observed."
RQDef,"This report aims to examine various factors that may increase the risk of MDRB infections amongst patients with liver transplants, which will help doctors monitor patients for these infections as well as provide a better understanding of the risks associated with liver transplants."
MethJust,"But for now, we would pick the model with the lowest MSE - model B - to continue our study."
Int,"Since the dataset is an obvervational study, I could not conclude causal effect."
Data,The median is 682 videos.
Int,"In the context of the data, we see that there is not a reasonable difference in income between different levels of drug use."
MethJust,"For “often”, there are only 20 people, which isn’t larger than 30."
Res,"After performing the ANOVA test, we get a test statistic of F = 15.7301 and a p-value that is approximately 0 (p-value = 0)."
MethJust,"Also, the residuals are closely distributed along the normal quantile, which suggests that the Gaussian error assumption holds."
MethJust,"Once the variables were transformed it was clear that there was a negative trend between the response variable, (log(Maximum.longevity.yrs)), and a key quantitative predictor variable ((log(Metabolic.by.mass))."
Data,"As we observe the scatterplot carefully, we find the overall trend of the graph is negative slope with linear relationship, with some outliers."
Data,"In this report, our analysis mainly focused on the playing time of 595 players who participated in the 2010 World Cup."
Data,The particulate matter variable is heavily right-skewed with the majority of the data between -30 and 30 milligrams per cubic meter but there are several very large outliers.
RQJust,"Currently, unequal pay between men and women, with women receiving 82.3 cents per every male dollar, is an issue of injustice (as detailed, for instance, in Business Insider, March 24th, 2021, https://www.businessinsider.com/gender-wage-pay-gap-charts-2017-3)."
Data,"Income is a quantitative variable that measures the yearly income of the OkCupid users, measured in dollars."
RQDef,The first question of this report considers the distribution of the “area” variable.
Struct,"To understand the variables in the context and motivate the hypothesis test, we will explore the distribution of views vs age to find a relationship."
MethJust,"Based on the errors we displayed in Table 1, we see that they are all quite small and do not differ too much, even when we take into account the fact that we were working with the log transformation of the variables so all the values were smaller to begin with."
RQDef,"Now, we can answer our last research question: What is the mean death rate for Chicago on a typical 70-degree day if we lowered the level of all pollutants to match the lowest value ever recorded for those pollutants."
RQJust,"Due to the fact that those who use drugs might be more focused on drugs than getting into a relationship, we hypothesize that those who are single are more likely to use drugs."
Lim,"Forth, some assumptions of our model are violated."
RQDef,My third and final research question is how a Youtuber’s subscriber count effects their viewsPerVideo and characterize the relationship if found.
Data,The response variable is death.
Data,"The data set that will be explored in this report is a sample of a larger set of data collected, using Python, from San Francisco OkCupid (okcupid.com) public profiles of people who had been active within a year of the data collection, which occurred on June 30, 2012, and had at least one profile picture."
MethJust,"The qq plot looks normal, but some points are off the line on the sides (especially the right side)."
Res,The Entertainment category’s median is 943.066 thousand.
Res,"From this table, we see that the most populated cell of the table is never done drugs with average body type."
Data,'Metabolic.rate' represents the typical resting metabolic rate and its unit is in Watts.
MethDef,We conduct 2 global goodness-of-fit tests for our final model.
Struct,"In Figures 4 and 5, we present the diagnostic plots for the selected spline model."
Data,"As seen in figure 5, the medians are different as well."
MethJust,"The difference between the models, according to the cross validation output appears to be significant."
Data,"In general, except for $tmpd$, for all explanatory variables, the distribution of the original variable and the lagged variable appears to be right-skewed."
RQDef,"Lastly, we examined whether reducing pollutants would cause mortality to decrease."
Res,"If we plot the relationship with linear regression lines for each category of channel, we can see the line for education is the only one with a positive fit, while the rest of the categories have a negative fit or horizontal line (no relationship)."
Struct,"Based off all these plots, we believe we have enough information to continue to the next section."
Struct,Figure 7 visualizes a scatterplot of the predicted log of lifespans given the log of metabolic rates.
RQDef,"Also, we delve into Jorgensen's second question: is the effect of pollution instantaneous."
MethJust,"Based on our plot in Figure 7, we can see that the death variable follows a Poisson distribution well, meaning that we trust the model that we are using since it assumes that distribution."
Res,"Notably, we see that mortality seems to first decrease then increase as $lag_ozone$ increase, which is not expected (4)"
Data,The rest of the correlations with log_death seem to be extremely weak in this format.
Data,"From figure 2 and the correlation coefficient (0.027), we also see that $Body.mass.g$ seems to be uncorrelated with the response variable $Max.lifespan$ (6)."
Int,"This is what expected, mean lifespan goes up when metabolic rate decrease."
Data,The other variable used in our report is the views.
Res,The crab-eating raccoon's mean lifespan is 19 years at its normal metabolic rate.
MethDef,"We created two new variables: $tmpd.diff = |tmpd - 72|, lag_tmpd.diff = |lag_tmpd - 72|$ so that we can treat the effect of extreme temperatures on both ends (extreme high and extreme low) in the same way."
RQDef,"However, we remain interested in exploring a different possible relationship: sex and drug habits."
MethJust,"However, there seems to be a sufficiently linear, and have a very slightly negative slope."
Data,"Next, we will look into two key variables: Metabolic Rate by Mass in ('Metabolic.by.mass') and Maximum Longevity in years ('Maximum.longevity.yrs')."
Lim,"However, homoscedasticity seems to be slightly violated as residuals seem to have different spread (4)."
Res,"The estimated slope, $beta_1$, is -26.582 Watts per gram."
Data,(2) The response variable is the number of non-accidental deaths on a given date.
Int,"That being said, it stands to reason that given mammals are more closely related to humans than reptiles, this should not severly impact the results of our report."
MethJust,Computing the chi-squared value requires both the observed and expected cell counts.
Context,The overall population has begun to accept passive income practices and wants to take advantage of the virtual space.
RQDef,"In this study, we aim to discover if this theory is supported with evidence, and, if so, what is the most likely relationship between metabolic rate and improved lifespan."
Context,Ranging from science to simply discussion and misc.
MethDef,Ha: There exists a relationship between drugs and body type (p < .05).
Int,This indicates that we the model meets its assumptions maybe better than we originally thought after looking at the diagnostics because being safer by doing the resampling residuals method of bootstrapping resulted in a wider confidence interval.
MethJust,"Because the assumptions for linear smoothers are the same as for simple linear regression, we will use the the same diagnostic plots that we would use for linear regression to check the assumptions."
Data,Information has been collected on a sample of 595 soccer players.
MethDef,"For this test we had to create a third model with temperature as the only covariate, as we tested the lagged model with all the pollutants against a model where there are no pollutants covariates."
Struct,Table 3 depicts the prediction errors and standard errors for the models 1 and 2 which we produced using 5-fold cross-validation.
Context,Understanding the lifespan of animals is a fundamental question in all of biology.
Data,The ozone variable is the median concentration of ozone pollution.
MethDef,Ha: There exists a relationship between drinking and body type (p < .05).
RQDef,"I will use data from “category,” “accountAge,” “videoUploads,'“ and “subscribers” to answer my overall research question: is the number of subscribers affected by viewsPerVideo, accountAge, or videoUploads."
Struct,We will first provide some context for the data we will examine.
MethDef,"Firstly, we generate a scatterplot with RH on the x-axis and area on the y-axis."
Data,"Looking at the first plot, using Lifespan and Metabolic.by.mass, we can see that there seems to be a somewhat negative relationship between Lifespan and Metabolic.by.mass."
Context,"Rather, from the comfort of their own home, people can meet and interact with possible partners and begin relationships."
Data,"Other significant correlations include a negative correlation between 'log_death' and 'tmpd' with coefficient -0.401, and a positive correlation between two of the pollutant variables, 'pm10median' and 'so2median'"
MethDef,"We constructed two Poisson generalized additive models with a log link to fit the relationship between deaths, the pollutants, and temperature as well as to answer Jorgensen's questions about pollutants impact on mortality."
Data,The plots of ozone and temperature over time in Figure 4 and 5 show that they are cyclical in nature.
MethJust,"Since the high death rate is explained by extreme temperature, which is one of the covariates, we should keep these outliers."
Data,"The relationship between these two variables, however, does not look linear as well."
Res,"For example, September has a DMC value that is an outlier of roughly 291.3, which is 17.5 units higher than the max DMC value for August."
Data,"Although the AnAge database contains information on over 4,200 species, our collected dataset specifically contains 347 animals in the Chordata phylum."
Res,"The estimated 95% confidence interval was found to be [-30.819, -22.345], which does not include 0."
Struct,(3) Figure 10 depicts the time series data for pollutants and temperature in Chicago from 1987 to 2000
Data,"For the purpose of this project, we will be viewing gender and sex in a binary sense, with solely male and female categories."
Struct,"Below in Figure 3, we see a scatterplot of the two variables."
Lim,We could improve this by further organizing the data into larger bins so that they are less sparsed out.
Data,"First variable is 'Maximum.longevity.yrs', which is our response variable."
MethJust,"The predictor variable is clearly significant at a high level, and the F-test for the overall model also showed clearly significant results over simply guessing the average."
RQDef,We hypothesize that there is a relationship between the number of words in titles of different categories.
Res,"However, the correlation for these variables varies between video topic category."
Int,"In the context of our current study, this means that there is sufficient evidence to show a relationship between title length in different channels, allowing us to conclude that there is sufficient evidence to show that different channels cause different title lengths."
Context,"Overall, our analysis can help both players and coaches understand what factors during a game result in the success of the team and how they can improve in the future."
MethDef,"Note, many observations had columns with missing data, so these observations were removed when analyzing the data."
Context,One of the major hot-button issues nowadays is the idea of pollution.
Data,"We then look more closely at the distribution of the temperature variable, which is left skewed and unimodal, with a spread from 278.5 Kelvin to 314.1 Kelvin and a center around 309 Kelvin."
Int,"This is not a surprise given that our predictors (lagged pollutant and temperature data) only encompass a fraction of the many variables that are related with non-accidental deaths (i.e., underlying health conditions, crime levels)"
MethJust,"In Figure 7, the residuals are mostly centered around zero, having distribution above and below the zero line as well."
Struct,"Above is our pairs plot, or scatterplots of our newly log-transformed death variable versus our key predictor variables (4)"
MethJust,"To make causal inferences, we want to reduce the omitted variable bias by as much as possible."
Int,"Clearly the countries size is not a factor, nor is developmental factors."
Res,"If we take 50% of the average metabolic by mass, we get 0.0011155 W/g."
Lim,"(2) As was seen in figures 10 and 11 above, there are a few violations of the linearity assumption, particularly that the residuals appear to not have a constant variance of have the error normally distributed."
Data,"It is defined as the maximum longevity (lifespan) of the animal subjects, measured in years (3)."
RQDef,"What are the ages of the most avid drug users, or those who abstain from drugs?"
Lim,Another limitation is that the data is only obtained from the Chicago area which could be affected by various factors such as socio-economic status and weather.
Data,"The weekly averaged variables are short hand called ""lag-variables"", indicating the measurements represent lagged time effects over the span of a week"
MethDef,The following hypothesis is tested.
MethJust,"(5) The difference between the models in terms of the uncertainty estimates do not appear to be significant because the uncertainty in standard errors for the smoothing splines differ by about 1% for every change of 1 degree of freedom, with the linear regression standard error not too far off from the smoothing spline with degree of freedom 3."
Int,"Overall, we can see that most youtube channels in this study are from the United States, followed by India and Great Britain, therefore we can somewhat assume that you would have a slightly higher probability of becoming more successful on youtube if you originate/start your account in one of these countries."
Lim,"If we were to conduct this analysis again, we would increase the sample size of youtube channels."
Data,"As shown in Figure 1, the distribution is unimodal and heavily skewed to the right."
RQDef,(2) Is the effect of air pollution instantaneous or does it extend over time.
MethDef,"To get a basic visual representation of the data, we created a box plot comparing the distribution of height across the 4 groups of status (shown in Figure 6)."
RQDef,"Based on the common knowledge that forest fires are related to hot and dry weather, we hypothesize that most of the forest fires occurred during summer, which is defined as the third quarter of the year and spans from June to August."
MethJust,"We can see that the residuals have an even spread across x = 0, and the QQ plot indicates that our residuals are very close to what they should be."
MethDef,"(4) For my chosen model (Model 2), I then draw the smoother term for each of predictor, with uncertainty."
Data,"Therefore, we also need to consider 'Temperature', typical body temperature in Kelvin, as a key variable to check if it is a confounder that affects the validity of our model."
RQDef,"If the level of each pollutant were somehow lowered to match the lowest value ever recorded, what mean death rate would we estimate for Chicago on a 70-degree day."
Struct,"To better understand the variable of playtime and form our hypothesis test, we will analyze the distribution of playtime in the 2010 World Cup."
MethJust,"Furthermore, several of our predictor variables like 'Metabolic.by.mass.log' and 'Body.mass.g.log' also appear much more normal as a result of the transformations."
RQDef,Our primary goal is to better understand the demographic of people who seek out online dating platforms.
Res,"From the boxplot above (figure x) we can see that the max, median and third quartile vary across the continents."
Data,Our final variable income is quantitative and describes the yearly income of a user.
RQDef,"Based on intuition, we would hypothesize that the greater the account age, the greater the number of subscribers, since the longer a Youtube account is active, gradually more popularity can be accumulated."
Res,"The test statistic is t=11.5972, and the p-value is reported as p=0."
MethJust,"First, it has the lowest cross validation error among all models."
Data,"We will be using the AnAge Database of Animal Aging and Longevity, which is a database of aging and life history in animals that was mainly developed for comparative biological studies."
Lim,"Considering additional variables would have helped the study as well, such as economical stability as well as cultural preferences for media content."
Context,"People have always wanted to attain immortality, and many researches have been conducted to find relationship between ages and different factors."
Data,"The entire dataset includes 16 variables: age, body type, diet, drinking habits, drug use, education, ethnicity, height, income, job, offspring, orientation, pets, sex, smoking habits, and relationship status."
